lfdn;external_lfdn;tester;dispcode;lastpage;quality;duration;condition;p_0001;p_0002;v_2343;age;gender;gender_other;education;education_other;severity;AC;MC_contr;MC_uncert;MC_normal;MC_hope;trust1;trust2;trust3;trust4;trust5;trust6;trust7;trust8;trust9;trust10;satisfaction;nfc1;nfc2;nfc3;nfc4;nfc5;nfc6;pvs_personal;pvs_vicarious;comments;consent_serious;browser;referer;device_type;quota;quota_assignment;quota_rejected_id;page_history;hflip;vflip;output_mode;javascript;flash;session_id;language;cleaned;ats;datetime;date_of_last_access;date_of_first_mail;rts7089086;rts7091286;rts7091318;rts7091321;rts7091324;rts7091325;rts7091336;rts7091337;rts7091338;rts7091339;rts7091342;rts7091343;rts7091344;rts7133055
13;0;0;31;7089087;-77;142;3;0;0;62a8b9054021613d7aa7e806;35;2;-99;5;-99;6;2;-77;-77;3;-77;2;4;2;3;3;3;3;4;3;6;3;6;7;5;5;4;6;2;2;None - good luck with your study!;1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0";https://app.prolific.com/;0;0;-66;0;7091286,7091292,7091318,7091321,7091323,7091325,7091327,7091329,7091332,7091336,7091334,7091343,7133055,7091344,7091342,7089086,7089087;1;1;0;-77;-77;3a2d26215a8df4ad6ae9b0f4166e768e;1;0;1726146368;12.09.2024 13:06;12.09.2024 13:08;0000-00-00 00:00:00;142;8;28;43;0;50;68;0;0;0;139;95;123;99
14;0;0;31;7089087;-77;167;4;0;0;632073c299a043bc2071e4f7;31;2;-99;4;-99;5;2;-77;-77;-77;5;3;2;5;3;6;3;6;6;5;4;4;6;5;7;6;7;6;3;2;-99;1;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36";https://app.prolific.com/;0;0;-66;0;7091286,7091292,7091318,7091321,7091323,7091325,7091327,7091329,7091332,7091334,7091337,7091343,7133055,7091344,7091342,7089086,7089087;0;1;0;-77;-77;5948919f3fe265bbace3e2781bd5bf1e;1;0;1726146368;12.09.2024 13:06;12.09.2024 13:08;0000-00-00 00:00:00;167;11;36;46;0;55;0;72;0;0;165;109;157;118
15;0;0;31;7089087;-77;271;2;0;0;5fcb9cf318ab23920952fc3c;32;1;-99;4;-99;7;2;-77;1;-77;-77;1;4;1;7;2;2;2;2;5;5;2;7;5;5;5;7;7;3;2;-99;1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36";https://app.prolific.com/;0;0;-66;0;7091286,7091292,7091318,7091321,7091323,7091325,7091327,7091329,7091339,7091332,7091334,7091343,7133055,7091344,7091342,7089086,7089087;1;1;0;-77;-77;2a34e80af0462a23bbf25a24689cbae5;1;0;1726146369;12.09.2024 13:06;12.09.2024 13:10;0000-00-00 00:00:00;271;19;90;102;0;115;0;0;0;142;265;183;255;214
16;0;0;31;7089087;-77;170;3;0;0;66ab8d416edb9eea4e69b5de;30;1;-99;4;-99;7;2;-77;-77;1;-77;1;5;3;4;2;1;1;2;4;5;1;6;6;3;6;6;5;2;1;-99;1;"Mozilla/5.0 (iPhone; CPU iPhone OS 17_5_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Mobile/15E148 Safari/604.1";https://app.prolific.com/;0;0;-66;0;7091286,7091292,7091318,7091321,7091323,7091325,7091327,7091329,7091332,7091336,7091334,7091343,7133055,7091344,7091342,7089086,7089087;1;1;0;-77;-77;0761c431ac54a5bc0e36e03b6a584661;1;0;1726146373;12.09.2024 13:06;12.09.2024 13:09;0000-00-00 00:00:00;170;22;45;55;0;63;83;0;0;0;165;116;159;121
17;0;0;31;7089087;-77;420;3;0;0;66e2722e1031dda673615e8c;34;1;-99;5;-99;6;2;-77;-77;1;-77;1;5;3;5;2;2;2;1;4;7;3;7;7;5;7;6;7;3;1;I don’t think it was clear whether the ‘doctor’ did all the tests they could’ve. I would expect some kind of scans to be done (xrays, ct etc) and if this doctor didn’t have the facility to do so, I would expect them to refer me somewhere where this could be done. It wasn’t clear whether this is the case on this scenario, hence I feel sceptical about this doctor’s expertise ;1;"Mozilla/5.0 (iPhone; CPU iPhone OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Mobile/15E148 Safari/604.1";https://app.prolific.com/;0;0;-66;0;7091286,7091292,7091318,7091321,7091323,7091325,7091327,7091329,7091332,7091336,7091334,7091343,7133055,7091344,7091342,7089086,7089087;1;1;0;-77;-77;415aad1b6275c97ab7e40b915031075f;1;0;1726146375;12.09.2024 13:06;12.09.2024 13:13;0000-00-00 00:00:00;420;21;122;136;0;148;185;0;0;0;411;246;298;251
18;0;0;31;7089087;-77;273;1;0;0;660eb8b1537bc6e94cff4edb;52;2;-99;3;-99;7;2;2;-77;-77;-77;2;4;4;4;3;3;2;3;4;5;3;7;7;7;7;6;7;3;1;-99;1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 Edg/128.0.0.0";https://app.prolific.com/;0;0;-66;0;7091286,7091292,7091318,7091321,7091323,7091325,7091327,7091338,7091329,7091332,7091334,7091343,7133055,7091344,7091342,7089086,7089087;0;0;0;-77;-77;8ec58be31021a3a9136e33e26508ce18;1;0;1726146381;12.09.2024 13:06;12.09.2024 13:10;0000-00-00 00:00:00;273;32;63;82;0;96;0;0;119;0;267;188;250;199
19;0;0;31;7089087;-77;253;3;0;0;651acad0f88eb122f6f2c4c2;50;2;-99;3;-99;5;2;-77;-77;3;-77;4;3;3;5;3;3;5;4;5;5;3;6;5;6;6;4;6;3;1;NA;1;"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Mobile Safari/537.36";https://app.prolific.com/;0;0;-66;0;7091286,7091292,7091318,7091321,7091323,7091325,7091327,7091329,7091332,7091336,7091334,7091343,7133055,7091344,7091342,7089086,7089087;1;1;0;-77;-77;b8b1b051e40928c08e59beea7a0349a5;1;0;1726146393;12.09.2024 13:06;12.09.2024 13:10;0000-00-00 00:00:00;253;16;51;61;0;76;102;0;0;0;248;166;231;175
20;0;0;31;7089087;-77;259;4;0;0;66be2e005e41bf15d50ccae7;26;2;-99;4;-99;6;2;-77;-77;-77;6;6;2;4;5;6;5;6;5;6;6;4;6;5;4;5;6;7;2;1;none;1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36";https://app.prolific.com/;0;0;-66;0;7091286,7091292,7091318,7091321,7091323,7091325,7091327,7091329,7091332,7091334,7091337,7091343,7133055,7091344,7091342,7089086,7089087;0;1;0;-77;-77;06aeb878682d34c06e59302875415cda;1;0;1726146400;12.09.2024 13:06;12.09.2024 13:10;0000-00-00 00:00:00;259;23;58;73;0;89;0;119;0;0;252;163;222;175
21;0;0;31;7089087;-77;371;1;0;0;604d6ed78b4ba396c3b6c40d;24;1;-99;4;-99;5;2;3;-77;-77;-77;3;2;5;3;4;5;4;4;3;3;4;6;7;5;6;6;7;1;1;It blanked out at one point and said the site can't be reached but then worked when refreshing it ;1;"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Mobile Safari/537.36";https://app.prolific.com/;0;0;-66;0;7091286,7091292,7091318,7091321,7091323,7091325,7091327,7091338,7091329,7091332,7091334,7091343,7133055,7091344,7091342,7089086,7089087;0;0;0;-77;-77;a15711c252bbe0c238ba030f74e4d742;1;0;1726146405;12.09.2024 13:06;12.09.2024 13:12;0000-00-00 00:00:00;371;11;99;107;0;124;0;0;182;0;359;226;316;254
22;0;0;31;7089087;-77;207;2;0;0;5f32890797c5360588a496a2;33;2;-99;4;-99;5;2;-77;5;-77;-77;4;4;4;5;5;5;6;5;5;4;4;6;6;4;5;6;6;2;2;-99;1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0";https://app.prolific.com/;0;0;-66;0;7091286,7091292,7091318,7091321,7091323,7091325,7091327,7091329,7091339,7091332,7091334,7091343,7133055,7091344,7091342,7089086,7089087;1;1;0;-77;-77;9c93515a317117c5d2381f94a9ee44af;1;0;1726146407;12.09.2024 13:06;12.09.2024 13:10;0000-00-00 00:00:00;207;15;56;63;0;71;0;0;0;92;203;137;193;148
